text,label
 Sweet United Nations video. Just in time for Christmas. imagine no religion ,1
 @User We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that is hardly nothing ;) ,1
 Hey there! Nice to see you Minnesota/ND Winter Weather ,1
 3 episodes left I am dying over here ,0
 I can not breathe! was chosen as the most notable quote of the year in an annual list released by a Yale University librarian ,1
 you are never too old for Footie Pajamas. ,0
 Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. ,1
 4:30 an opening my first beer now going to be a long night/day ,0
 @User do you think you would support a guy who knocked out your daughter? Rice does not deserve support. ,0
 @User You are not allowed to open that until Christmas day! ,0
" Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. ",1
" But instead, I am scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. ",0
 @User :pouting_face: no he bloody is not I was upstairs getting changed ! ,0
 Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture? ,0
 Just great when you are mobile bill arrives by text ,1
 crushes are great until you realize they will never be interested in you.| :p ,1
 Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. ,1
 I guess my cat also lost 3 pounds when she went to the vet after I have been feeding her a few times a day eating food working out ,0
 @User @User trading a SP for a defense-only SS? Brilliant trade. ,1
" But @User was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!! ",1
 @User please do..i need the second hand embarrassment so desperatly on my phone ,1
" I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @User tho....this girl got IT. ",0
 @User time to hit the books then ,1
 @User THX4FLW! FLWtheMUSIC @User @User WE are elektrik bloom elektrik fantasy iwant2drift elev8 the underground ,0
 Love these cold winter mornings :grimacing_face: best feeling everrrrrrr ! ,1
 Amazingly is not owned by bhp They are going to have to she will out some decent money for it. bhp billiton south 32 ,0
 Wish she could have told me herself. @User nicole scherzinger one love my fav my queen :heavy_black_heart:️:heavy_black_heart:️ ,0
 The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat: ,0
" I was doing great with this summary of my year until I got to June 27th, and the weekend of @User 's birthday. river trip group chat ",0
" see, that MIGHT show up on a background check, and you would be denied its a catch 22 we have the right to self protection @User ",0
 Smh never knew something could be 80% halal....Been muslim my whole life but somehow I have learned something new i guess ,1
 A wonderful day of starting work at 6am ,1
 i feel like whole life is about waiting waiting and waiting ,0
 @User lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip ,0
" @User you guys sure screwed this up royally. I am happy for Lester, the brain trust over there sucks. nice job lester to chicago ",1
 aussie gunman was on terrorist watch list PM says SYDNEY – The gunman who took 17 hostages in Sydney... ,0
" Twig is now ""Sprig""—3 sec limit on new social video platform techtalk editors pick silly vine tr ",1
 @User and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone.. ,0
 Yay for another work at 4am day :neutral_face: ,1
 Physical therapy at 8 am is just what I want to be doing with my Friday i want to sleep ,1
 Omg @User did not tell @User he was in town :face_screaming_in_fear: true friend ,1
" I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I am NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^ laugh now .of. ",1
" HaHaHaHa!! hypocrisy ""MT @User Katie Hopkins calls Russell Brand a bully..........: ",1
 That moment when you have so much stuff to do but you open @User ... productivity tum blr ,1
 Lol! I m enjoying it:two_women_holding_hands: talks crazyness she never left sleepy!! :white_smiling_face: ,0
 love this ,1
" : When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. naturopath apothecary herb poison ",1
 @User Goal of the Season 1970: GOAL 1. Jon Sammels arsenal vs man utd @User @User ,0
" really, what else can a fish be besides a fish? @User @User @User @User ",0
 @User I think it is a safe bet it will not fit the crime. ,0
 It will be impossible for me to be late if I start to dress up right now. studing university lazy ,1
 When you are already running late and then your car will not start <<< fantastic friday ,1
 i decided to become my own boss to have more free time.. now i have no time left whatsoever. ,1
 loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection ,0
 American Kids starting playing and now I am super missing summer 2k14 kenny chesney ,0
 @User do not know how monsanto among 100 most sustainable Cos in the world sure all parameters are measured net positive? ,0
" None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum ",0
 that way people get to understand disabilities and not stare at us funny wen we out and about id pwd disability ,0
 @User @User Shit! I better shut my stupid girly mouth because I am so concerned about what men might think of me. ,1
 Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth? ,0
 Tell me the quintessential aussie now is not a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm sad but true ,0
" @User ""Dirk's got a lot of moves I am trying to steal."" - Kevin Durant on his one-legged fadeway ",0
 About once a yr I get a little nutty and reach for the orange marmalade. living on the edge ,1
" Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill! ",1
" Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""? ",1
 Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow fan of the design feeling the... ,0
 Let your humility guard your pride ... Vanity should not be allowed to be with such a delicate thing. ,0
" Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. second semester drum corps college ",0
 I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol: or naah ,1
 Just delivered @User cro nuts to @User hmmm its for a customer I hope!!! ,1
 Such . You still have to praise him ;) ,1
 Hey heyy!!!I....want to be a rockstar vs co cam hero vso cam hero spiderman ,0
 @User . @User awk moment when I tweeted first fake fan !!!!! ,1
 Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 must watch b4decemberendssobssobs ,0
 @User @User @User @User @User nice to see the ambulance service is so important to OUR mps ,1
 I love finals week! just kidding stressed ,1
" @User fucking copycat, although you are name is mint and the act we share it is probably a because for alcohol filled celebration!!! ",0
 Literally cried when I woke up because I know what this day has in store for me the start of tech week Ready just shoot me know ,0
 @User Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards. ,0
 @User @User Oh that makes it all better!!! ,1
 Why did not I start watching the tudors earlier? i love it ,0
 @User christmas gift GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @User ,0
" do not knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! I am just living they same you are dude ",0
 GET AHT A TAHN!|The Made in PGH Gift Guide via @User ,0
 On my lunch break so sleepy:sleeping_face: ,0
 work trains the grind london business my happy face ,1
" dude said I better think hard , so he can take me to cheddars lmao ! ",1
 My christmas ritual...part one. how the grinch stole christmas ,0
 Overcast at Creso. today I am loving beachwalk crescent head ,0
 2014 can not end fast enough! Stupid dead battery. ,0
 Not even 8am and I can already see this is going to be a wonderful day need more coffee ,1
" I have an idea, how about 911 operators do not ever describe race?||And police have to wear color blind glasses?|| ",1
" @User but Russell is a good christian fella, he would not do that. ",1
" Apparently my youth group thinks ""Are you kidding me?"" is my default expression--or ""nomal face."" are you kidding me ",0
" @User psa Hey Jay, I tuned in when you said ""why all the cocaine talk today....after tweeting coke joke saw it is Escobar's 65th ",1
 Interviewed a turkey & here is what he had to say thanksgiving ,0
 Planned on an early night last night.. Oh yaa course that happened.. got interupted ,1
 @User your last retweet though ,1
 2v4 S&D matches are just so fun... ,1
 i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo: ,1
 I love waking up at 8 am on a Saturday morning after going to bed at midnight ,1
 A day where ruled @User I got followed by @User Wht a day!! Lollllll. ,1
 Jusuf Nurkic bulls RT @User He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott. ,0
 I do not even have progress on my thesis tas preparations for our event this thursday :weary_face: ,0
