text,label
Redemption round ( thank goodness ) and home made restaurant cooking is over ...no where to hide now . mkr ,0
Who are these people LOL mkr ,0
Oh no no no it's a conspiracy. mkr ,0
Vicky and Celine kickass I hope they do mkr ,0
A lot of people would like to put Kat to sudden death mkr ,0
At Annie and Lloyds breakfast ... mkr ,0
Kat and Andre sudden death ..in fact take the to the iron maiden mkr ,0
This is really Drasco ... mkr ,0
Urrrggg... going to be a lot of hungry campers going to maccas for breakfast mkr ,0
And Kat and Andre live ... Again . I hope she uses up her nine lives soon . mkr ,1
You'll be laughing last skank kat mkr ,1
Breakfast is served!! Which team would you be heading for? mkr hungry campers ,0
What do you think of the two teams facing Sudden Death on Monday? mkr sudden death ,0
@User The moment of truth... Did the girls deliver on their promises? mkr ,0
Our judges are about to turn the heat up in the competition! What do you think is in store for our remaining teams? mkr ,0
Which team do you think will be eliminated tonight? mkr ,0
OoOh what do you think is the surprise announcement? mkr ,0
Are you upset about tonight's elimination result? mkr ,0
We hope those gozlemes are worth the wait girls! mkr hungry campers ,0
@User Are the hungry campers looking like happy campers? We're feeling the stress on mkr tonight. tv week mag bbq breakfast ,0
Judgement time mkr hungry campers ,0
What do you think of dessert? killer blondes mkr ,0
@User So many delicious breakfast dishes! I would seriously struggle to pick one mkr ,0
Favourite (and cutest) review so far! Yummy! Yummy! Yummy! mkr hungry campers ,0
"@User "" fuck you say bitch? I will kill you "" ",1
"@User @User faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot ",1
@User you styl gotta get dem tweets off my nig ,1
@User jus wanted to let yáll know hope the hurricane kills your soca sunday trash lord will in ,1
@User Rudy Gay a faggot for not changing his last name once he got money. ,1
@User @User For every bad bitch there is a nigga who treats them like shit &amp; yet they stay..... I wanna ... ,1
@User Proof that thots are retarded. ,1
Late night phone convos with my hoomie that nigga a gook ,1
"Oh my gosh they played ""Ready to Run"" on mkr tonight!! I was soo happy!! ",0
I will never understand the reasoning behind deconstructed desserts. Just make a lemon tart! mkr ,0
I really really hope one of them falls down the stairs killer blondes mkr ,0
FFS last year WA had Chloe &amp; Kelly and now we have Kat &amp; Andre. Channel 7 doesn't like Perth haha! mkr ,0
"Kat and Andre are bad representatives of Perth. Non WA's, I promise most people in Perth are more like Eva &amp; Debra! mkr ",0
"Umm, wheres Manu? mkr ",0
Ehh it's the boring stage now mkr ,0
They could have cut and cooked their own capsicum e.t.c mkr ,0
Katie and Nikki can't cook!!! mkr ,0
They didn't even wash the chicken mkr ,0
"Lynn and Tony disappointed me, lovely people but they cannot cook. mkr ",0
I hate y'all mkr ,0
They barely cooked anything on that entrée mkr ,0
"That CANNOT be their house, no way!!! mkr ",0
"@User Drasko only likes his mum's hot pot, especially when she's drunk and unconscious mkr ",0
STFU Drasko!! mkr ,0
@User Can someone smash that bottle of Rose &amp; Lime Cordial over Drasko's head please mkr ,0
@User except it's not the best looking instant restaurant.. It looks like two 13 year olds put it together mkr ,0
"Such a rigged show, how the hell did Katie &amp; Nikki make it through? mkr ",0
Kinda sad Lynn and Tony left mkr ,0
Ok the way she handled that sorbet maker was gross!! mkr ,0
"I hope this round humbled the girls, they can't cook mkr ",0
I wouldn't order anything on Katie and Nikki's menu in a restaurant!! mkr ,0
I cannot believe Katie &amp; Nikki went through. They barely cooked!! mkr ,0
That was annoying @User If she calls her own self pretty one more time.. I'm gonna vom. mkr ,1
@User My deconstructed tart joke from the last season of mkr ,1
"""We want everyone to know we are not just pretty faces"" noone said they were pretty though mkr ",1
@User I wonder which of the blonde molls screwed Colin to get that score? Probably both. mkr ,1
@User Drasko takes a peek out of the closet then Bianca pushes him back in. mkr ,1
"@User the theme for their instant restaurant appears to be ""barbie's dream narcissism kitchen"" mkr ",1
@User The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl… ,1
@User Shoot that nigga and his shorty bitch ” ‼️‼️ ,1
cant trust niggas when it come to bitches ,1
Heard that bitch gtta thang for them boss niggas ,1
Ion care fuck that hoe ✌️ ,1
dumb ugly stupid bullshit ass bitch ,1
"""You ain't gunna do shit spear chucker"" ",1
"""Who the fuck you callin jiggaboo, nigga?!"" ",1
Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face. ,1
mkr It's looking like Lynn and Tony will be safe. ,0
"@User @User is bored supposed to be cute, you faggot?"" Sometimes ",1
Iont see how some of you niggas fags!! ,1
"@User whatever hoe bitch 1 them ""fags"" beat yall sad asses too ",1
" i just said that @User My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg ",1
mkr host Colin Fassnidge in his element at taste of sydney ,0
mkr host Collin Fassnidge and yahoo 7 editor @User at taste of sydney ,0
Saved by the tail of a spatchcock mkr promo girls ,0
Ok... Who should stay? And who should go? mkr ,0
@User Surely we are being Punked mkr ,0
"That just happened, right? The catwalk?! The cat-bloody-walk?! mkr ",0
"Can we stop deconstructing desserts please? Let's start a campaign, let's get some names on a clipboard, let's start a march mkr ",0
Is it just us or is ima celebrity au turning into mkr meets survivor ? ,0
@User Nikki has massive armpit vaginas mkr ,1
mkr @User @User @User @User @User @User @User ,0
OMG SHUT UP DRASKO AND BIANCA mkr final five ,0
"Can’t wait to humble these niggas in the playoffs again. Until then, good job hoes ",1
Truth @User Only a faggot would turn down hairy pussy ,1
@User @User @User @User Ahmed and retard mikey for special Olympic boxing ,1
You have my word we will @User @User beat those fucking faggots pls ,1
You’re a little bitch @User @User my team got blown out in the Super Bowl ,1
@User faggot ,1
@User don’t be a hurt little faggot ,1
@User it’s the entire pats bandwagon. They’re faggots ,1
Why does Pete Evans get to decide what breakfast food is? mkr ,0
But sorbet is dairy free! mars capone cheese mkr ,0
@User @User she spelled faggots with an e you're so cool lol ,1
Annie exhausted from camping...LOL mkr ,0
"Kid - ""You have to wake up earlier"" LOL mkr ",0
Time to saddle up... mkr ,0
oh god please don't please just stop mkr ,0
"I'm going to sell my iPhone and both my Macs, I don't support faggots. ",1
"Why does this faggot in front of me have to get two dozen doughnuts right now, get the fuck on ",1
@User fags ,1
I hate fat bitches ,1
@User lmaoo what a fag ,1
Someone shut this beaner up please. ,1
@User because if you support lesbians you have to support faggots there's no difference. ,1
I know righttt @User I hate fat loud bitches ,1
I hope you get eye cancer bitch. ,1
Yo bitch ass needs to boss the fuck up. ,1
Being treated to two fat cats version of late night toast lucky mkr aaron and aaron auckland ,0
@User so many poor dishes it will be hard to choose who to put into sudden death. mkr ,0
@User mkr didn't think Kat could be more annoying than she was in the home rounds. I was wrong! Annie coming a close second. ,1
@User Nutrition is key to closing the aboriginal life expectancy gap @User ,0
"Go jac n Shaz, looks great mkr ",0
Rob &amp; Dave are in their element mkr ,0
Loving this challenge mkr ,0
Why do the ugly hearted and untalented people always thrive on mkr Kat and Andre should've gone home. Such bitter assholes my kitchen rules ,0
mkr No No No No No No ,0
@User Pony burgers from Annie with Diazepam sauce? mkr ,0
Kat should be eliminated for bad sportsmanship mkr mkr2015 ,1
"SERIOUSLY, not ANOTHER instant restaurant round?? mkr ",0
"Well gahdamn. @User Wooooow @User ""Good job mommy"" cutest thing blue ivy ever done she still an ugly nigger baby” ",1
"...you're white, aren't you? *rolls eyes* @User @User RIP to my NIGGA Trayvon, a worthless spear chucker ",1
Or the teach might get u got @User I really hate a disrespectful ass bitch in class. The professor is talking you STFU bitch. ,1
...aaaaaaaaand it begins. @User Fucking niggers that's all Kentucky is and ever will be ,1
"Haha Kate, wiped the smile off your face too mkr ",0
It wouldnt be fair if u stay u cooked shit mkr kat ,0
"I wonder if that Latino strategy is @User GOPer doubles down on ""wetbacks"" but backpedals on ""shoot on sight"" ",1
@User hey fag i &lt;3 you ,1
@User youre a fag ,1
2 hoes 1 dyke ,1
@User faggot ,1
@User it was Paul McCartney faggot ,1
@User The scoring wasn't even done honestly mkr ,0
Cannot believe they made it through. Are they just going to give everyone a 1 for the rest of the comp? feisty foodies mkr @User ,0
What's so good about Prom? All I see is another faggot ass High School dance. ,1
"Catching up on tonights episode, Kat needs to go. The fuck kind of attitude is that to have because of someone else's downfall. mkr ",0
Kat on mkr says what every one else is thinking smug faces ,0
RIGGED. RIGGED. RIGGED. mkr ,0
killer blondes more like dum blondes mkr ,1
mkr Baaarrrbbeeeqquuueee colin ,0
Good breakfast ideas with vegetables. Vegetable fritters with fresh corn yum mkr ,0
"@User @User Surely when you go to a restaurant you have certain expectations, given what is written on the menu? mkr ",0
mkr The bimbos make an awesomely awesome kick ass awesome apple awesome pie. Which has to be perfectly awesome or they'll go home. Awesome! ,0
"mkr What's with all the ""It's not what we were expecting."" Judge what's put in front of you, not what you think should have been supplied. ",0
mkr Perhaps if the girls had spent less time looking in &amp; kissing mirrors and more time in preparation &amp; cooking they'd be better off. ,1
Entree worth a 3 max. My kids cook better than this and they know how to open cans! mkr ,0
Just get rid of the two big drips mkr ,0
Come on everyone. Kat and Andre are just pulling in the viewers and underneath we just want them to be around to stir everyone up mkr ,0
They starting to act and look like a couple of B grade hookers to me mkr ,1
"Stick it up em Kat, you're the sort of bitch that really makes the show mkr ",1
"Colin, are you having a lend? 7 for main and dessert? Little skill was demonstrated throughout. mkr ",0
Has mkr become a Steve v Drasko showdown? Who can talk more talk? ,0
Hang on... Think I've figured out what the next twist is... This episode is just a joke yeah? They're havin' a laff surely. mkr ,0
What part of cooking show screams tinned food? mkr ,0
Kat and Andre being partially critical. We all know that insta-restaurant was worth more than 1/10 mkr playing the game ,0
Kat just loving the negative reviews. mkr ,0
More egos and arrogance than that pink room can handle in mkr tonight. ,1
That's really low. mkr ,0
Kat's face..the only thing worse than her cooking mkr ,0
"mkr tonight, sassy overload @User @User @User ",0
This show is officially fucked!!!!! Space Cadets get to stay FFS mkr ,0
Who's out? mkr ,0
Who got through guys? mkr ,0
Really can't believe I'm still watching this shit!! mkr ,0
The girls are going through this is fucked or are they sucking Colin's cock! mkr ,1
These girls are fucktards!! mkr ,1
The blondes will get through cause they are young and can suck... Hard! mkr ,1
OMG the sluts are going to get through mkr ,1
Well... The Hoes might pull this off.... Pardon the pun!! mkr ,1
Do the killa models give a killa dessert?? mkr ,1
@User My crap tastes better than the shit Kat &amp; Andre served up. I wouldn't feed it to a dead cat. villans cheats mkr mkr2015 ,0
Another instant restaurant round? WTF. mkr ,0
I hope Kat gets Ebola and then hit by a train followed by a smack in the ugly face with a shovel mkr kat and andre mkr kat ,1
"Ripped off! Poor girls, that's ridiculous! mkr ",0
Literally cannot decide which team I like less. kat and andre vs katie and nikki mkr2015 mkr ,0
Just catching up on tonights mkr I am definitely going to be 87yrs old by the time this show ends. ,0
Can these girls stop talking about how pretty they are?!! Who talks like that? narcissistic much mkr ,0
@User awful. Obviously they don't have the skills to make a real lemon tart mkr ,0
"Kat and Andre, I really hope you are eliminated next mkr feisty foodies bad sports ",0
"I almost hope someone at the table mocks the killer blondes because their deconstructed lemon tart looks like crap ""just like us"" mkr ",1
Fuck off Kat! Douchebag. mkr bitchy ,1
@User mkr host Colin Fassnidge in his element at taste of sydney ,0
"mkr Those sausages look unlikable, do they even know what they are doing?! ",0
